step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,17,14,15,15,right,right,0,0
2,16,13,16,16,right,right,0,0
3,15,12,16,16,none,stay,0,0
4,14,11,15,15,left,left,0,0
5,13,10,14,14,left,left,0,0
6,12,9,13,13,left,left,0,0
7,11,8,12,12,left,left,0,0
8,10,7,11,11,left,left,0,0
9,9,6,10,10,left,left,0,0
10,8,5,9,9,left,left,0,0
11,7,4,8,8,left,left,0,0
12,6,3,7,7,left,left,0,0
13,5,2,6,6,left,left,0,0
14,4,1,5,5,left,left,0,0
15,3,0,4,4,left,left,0,0
16,6,14,13,13,left,left,1,0
17,5,13,12,12,left,left,1,0
18,4,12,11,11,left,left,1,0
19,3,11,10,10,left,left,1,0
20,2,10,9,9,left,left,1,0
21,1,9,8,8,left,left,1,0
22,0,8,7,7,left,left,1,0
23,1,7,6,6,left,left,1,0
24,2,6,5,5,left,left,1,0
25,3,5,4,4,left,left,1,0
26,4,4,3,3,left,left,1,0
27,5,3,3,3,none,stay,1,0
28,6,2,4,4,right,right,1,0
29,7,1,5,5,right,right,1,0
30,8,0,6,6,right,right,1,0
31,7,14,13,13,left,left,2,0
32,6,13,12,12,left,left,2,0
33,5,12,11,11,left,left,2,0
34,4,11,10,10,left,left,2,0
35,3,10,9,9,left,left,2,0
36,2,9,8,8,left,left,2,0
37,1,8,7,7,left,left,2,0
38,0,7,6,6,left,left,2,0
39,1,6,5,7,left,right,2,0
40,2,5,4,6,left,left,2,0
41,3,4,3,5,left,left,2,0
42,4,3,3,4,none,left,2,0
43,5,2,3,4,none,stay,2,0
44,6,1,4,4,right,stay,2,0
45,7,0,5,5,right,right,2,0
46,13,16,14,14,none,stay,3,0
47,12,17,13,13,left,left,3,0
48,11,18,12,12,left,left,3,0
49,10,19,11,11,left,left,3,0
50,9,20,10,10,left,left,3,0
51,8,21,9,9,left,left,3,0
52,7,22,8,8,left,left,3,0
53,6,23,7,7,left,left,3,0
54,5,24,6,6,left,left,3,0
55,4,25,5,5,left,left,3,0
56,3,26,4,4,left,left,3,0
57,2,27,3,3,left,left,3,0
58,1,28,2,2,left,left,3,0
59,0,29,1,1,left,left,3,0
60,26,14,15,15,right,right,3,1
61,25,13,16,16,right,right,3,1
62,24,12,17,17,right,right,3,1
63,23,11,18,18,right,right,3,1
64,22,10,19,19,right,right,3,1
65,21,9,20,20,right,right,3,1
66,20,8,20,20,none,stay,3,1
67,19,7,20,20,none,stay,3,1
68,18,6,19,19,left,left,3,1
69,17,5,18,18,left,left,3,1
70,16,4,17,17,left,left,3,1
71,15,3,16,16,left,left,3,1
72,14,2,15,15,left,left,3,1
73,13,1,14,14,left,left,3,1
74,12,0,13,13,left,left,3,1
75,9,16,13,14,left,stay,4,1
76,8,17,12,13,left,left,4,1
77,7,18,11,14,left,right,4,1
78,6,19,10,13,left,left,4,1
79,5,20,9,12,left,left,4,1
80,4,21,8,11,left,left,4,1
81,3,22,7,10,left,left,4,1
82,2,23,6,9,left,left,4,1
83,1,24,5,8,left,left,4,1
84,0,25,4,7,left,left,4,1
85,1,26,3,6,left,left,4,1
86,2,27,2,5,left,left,4,1
87,3,28,2,6,none,right,4,1
88,4,29,2,5,none,left,4,1
89,27,14,15,15,right,right,4,2
90,26,13,16,16,right,right,4,2
91,25,12,17,17,right,right,4,2
92,24,11,18,18,right,right,4,2
93,23,10,19,18,right,stay,4,2
94,22,9,20,19,right,right,4,2
95,21,8,21,20,right,right,4,2
96,20,7,21,20,none,stay,4,2
97,19,6,20,20,left,stay,4,2
98,18,5,19,19,left,left,4,2
99,17,4,18,18,left,left,4,2
100,16,3,17,17,left,left,4,2
101,15,2,16,16,left,left,4,2
102,14,1,15,15,left,left,4,2
103,13,0,14,14,left,left,4,2
